"Firma_Suchname","Firma_voll","Strasse","PLZ","Ort","Bezirk","Website","Anmerkung"
"hbverse","hbverse GmbH","Demuthgasse 29","1160","Wien","Wien 16","https://www.hbverse.com",""
"Elektro Atos","ELEKTRO ATOS GmbH","Possingergasse 53-57/13/1A","1160","Wien","Wien 16","https://elektro-atos.at",""
"Kaczek's Visuals Trading","KACZEK'S VISUALS Trading GmbH","Penzinger Straße 35/6/21","1140","Wien","Wien 14","https://www.kflect.com",""
"HSH Projektentwicklung","HSH Projektentwicklung GmbH","Reinlgasse 22/1","1140","Wien","Wien 14","",""
"Speech Projects","Speech Projects GmbH","Salisstraße 3/5","1140","Wien","Wien 14","",""
"Friya","FRIYA GmbH","Linzer Straße 67/2","1140","Wien","Wien 14","https://friyabeauty.at",""
"Steuersalon Steuerberatungs","Steuersalon Steuerberatungs GmbH","Utendorfgasse 24","1140","Wien","Wien 14","https://www.steuersalon.at",""
"Growth Ninjas","Growth Ninjas GmbH","Goldschlagstraße 172/4/6","1140","Wien","Wien 14","https://www.growth-ninjas.com",""
"Genesis Osaka","Genesis & Osaka GmbH","Mitisgasse 29/27/R01","1140","Wien","Wien 14","https://eumassagesessel.at","Firmenbuch-Adresse weicht von Showroom-Adresse (Lützowgasse 14, 1140 Wien) ab"
"Sipe Management und Beteiligungs","SIPE Management- und Beteiligungs GmbH","Kendlerstraße 12/2/14","1140","Wien","Wien 14","https://pecher-partner.com",""
"MIT Gerüstbau","MIT Gerüstbau GmbH","Linzer Straße 418/GL1","1140","Wien","Wien 14","https://www.mit-geruest.at",""
"Michael Walentin","AQUENA-INTERNATIONAL Michael Walentin GmbH","Mauerbachstraße 65","1140","Wien","Wien 14","",""
"Phaeton Leasing","PHAETON Leasing GmbH","Keißlergasse 3","1140","Wien","Wien 14","",""
"Panalpa Handels und Entwicklungs","Panalpa Handels und Entwicklungs GmbH","Bahnstraße 44/13","1140","Wien","Wien 14","",""
"Q - Home Fertighaus","Q - Home Fertighaus GmbH","Lützowgasse 14A/Top 19","1140","Wien","Wien 14","https://www.q-home.at",""
"Leotaurus","Leotaurus GmbH","Linzer Straße 451c","1140","Wien","Wien 14","https://www.leotaurus.at",""
"Michael Fleck Installationen","Michael Fleck Installationen GmbH","Albert-Schweitzer-Gasse 5","1140","Wien","Wien 14","https://fleck-installationen.at",""
"Mehrlaser","MehrLaser GmbH","Bugstraße 14/2/4","1140","Wien","Wien 14","https://www.mehrlaser.at",""
"energyinmind","EnergyInMind GmbH","Cumberlandstraße 40/1/19","1140","Wien","Wien 14","https://energyinmind.at",""
"Process M","PROCESS-M GmbH","Schuhmeierstraße 16/4","1140","Wien","Wien 14","https://process-m.com","Ort in mehreren Quellen uneinheitlich (teils ""Purkersdorf"" trotz PLZ 1140 Wien angegeben)"
"W.M.A.","W.M.A. GmbH","Spallartgasse 25/2/139","1140","Wien","Wien 14","https://www.wmagmbh.at",""
"Cadana","Cadana GmbH","Hüttergasse 33/4","1140","Wien","Wien 14","",""
"Stefan Gaczol Bau","Stefan-Gaczol Bau GmbH","Vogtgasse 5/2/11","1140","Wien","Wien 14","",""
"DME Innovation","DME Innovation GmbH","Brudermanngasse 1A/7","1140","Wien","Wien 14","",""
"Caldera Invest","Caldera Invest GmbH","Preradovicgasse 15","1140","Wien","Wien 14","",""
"De-Go Stahl","DE-GO Stahl GmbH","Lützowgasse 12-14","1140","Wien","Wien 14","https://degostahl.at",""
"Doublesmith","Doublesmith GmbH","Hütteldorferstraße 226/12","1140","Wien","Wien 14","",""
"Drexler Traninger","Drexler + Traninger GmbH","Einwanggasse 23/12","1140","Wien","Wien 14","https://www.traninger.com",""
"Elektro Ohmper","Elektro Ohmper GmbH","Fenzelgasse 27/1A","1140","Wien","Wien 14","",""
"wemedia","WEMEDIA GmbH","Holzhausenplatz 1","1140","Wien","Wien 14","https://www.wemedia.at",""
"Double You Development","Double You Development GmbH","Bründlsteig 23","1140","Wien","Wien 14","https://w-group.at",""
"Hangi","Hangi24 GmbH","Hadikgasse 64","1140","Wien","Wien 14","https://www.hangi.at","Firmenname lt. Register ""Hangi24 GmbH"""
"GSM Gebäude Sanierung Management","GSM Gebäude Sanierung Management GmbH","Hüttelbergstraße 71","1140","Wien","Wien 14","","es existiert zusätzlich ein e.U. gleichen Namens in 1040 Wien, Verwechslungsgefahr"
